2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: out,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: but
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: how
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: much
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: we
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: can
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: put
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: in.
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: 
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "There
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: is
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: nothing
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: quite
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: so
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: tragic
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: as
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: a
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: young
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: cynic."
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "Give
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: credit
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: where
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: credit
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: is
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: due:
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: simply
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: said,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: if
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: you
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: want
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: loyalty
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: and
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: best
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: effort,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: you
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: must
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: be
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: thoughtful.
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: 
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "When
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: one
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: does
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: not
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: have
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: what
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: one
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: wants,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: one
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: must
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: want
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: what
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: one
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: has."
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "Every
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: act
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: of
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: creation
